# metric_direction: higher_is_better
iteration	commit	metric	delta	guard	guard-metric	status	description
0	5cd534f	11587	0.0	pass	-	baseline	initial state — pages≈156 wikilinks≈4430 words≈106k
1	93a6f60	11598	+11	pass	-	keep	create 3 incisural-space pages from p3c05 + augment tentorial-incisura with figures
2	-	11686	+88	pass	-	keep	p3c08: create transtemporal-approaches synthesis — approach taxonomy, selection matrix, surface landmarks
3	-	11732	+46	pass	-	keep	p1c01: create operative-techniques synthesis — microsurgical principles, positioning, instruments
4	-	11789	+57	pass	-	keep	p3c07: augment far-lateral-approach — 3 extensions, 3 stages, condyle anatomy, suboccipital triangle
5	-	11803	+14	pass	-	keep	p3c09: augment jugular-foramen — Rhoton 3-compartment model, osseous anatomy, access barriers
6	c4245af	11835	+32	pass	-	keep	p2c01: augment cerebrum — scalp-cortex landmark mapping, central core approaches, temporal lobectomy technique
7	26e0b02	11841	+6	pass	-	keep	p2c02: augment MCA — lenticulostriate supply territories, 12 cortical areas, bifurcation-perforator distance
8	63cc562	11846	+5	pass	-	keep	p2c03: augment aneurysm-surgery — Rhoton's 9 anatomic principles for clipping, perforator dissection
9	04e2090	11858	+12	pass	-	keep	p2c04: augment deep-venous-system — ventricular vein landmarks, transchoroidal principle, foramen of Monro exposure
10	a205db3	11879	+21	pass	-	keep	p2c05: augment ventricles — comprehensive approach selection (10 routes), neural incision principles
11	6be4b98	11896	+17	pass	-	keep	p2c06: augment cranial-base — complete approach taxonomy (13 routes), Le Fort/maxillotomy variants
12	45aa4b1	11906	+10	pass	-	keep	p2c07: augment orbit — 3 orbitofrontal routes (medial/central/lateral), ON crossing distances
13	e2d4acf	11907	+1	pass	-	keep	p2c08: augment sellar-region — sphenoid sinus 3 types, instrument depth, curette preference
14	cf38ee2	11922	+15	pass	-	keep	p2c09: augment cavernous-sinus — venous duality, extradural dissection technique, clinoidectomy hazards
15	3d7b682	11926	+4	pass	-	keep	p3c01: augment fourth-ventricle — telovelar technique, peduncle risks, neural injury table, cerebellar mutism
16	ddb8d0a	11927	+1	pass	-	keep	p3c02: augment SCA — 4-segment classification, CN relations per segment, fissure anatomy
17	d71d0b4	11933	+6	pass	-	keep	p3c03: augment PF veins — approach-specific venous risk table, petrosal vein tributaries, NVC data
18	ae2b450	11934	+1	pass	-	keep	p3c04: augment NVC syndromes — trigeminal root somatotopy, rotation variability, aberrant rootlets
19	33200e7	11939	+5	pass	-	keep	p3c06: augment foramen-magnum — 3-category approach classification, herniation pathophysiology
20	02324dc	11947	+8	pass	-	keep	p3c10: augment basal-cisterns — 8 inter-cisternal arachnoid membranes, CN III as central pillar
21	-	13658	+1711	pass	-	keep	figure-integration: embed 787 high/medium-confidence figures from manifest into 41 wiki pages
22	-	14400	+742	pass	-	keep	cross-linking pass: 440 new wikilinks (161 body + 279 captions) across 76 pages, relaxed first-mention for figure captions
23	-	14434	+34	pass	-	keep	alias-expansion: 7 curated aliases added (reason-loop converged), +41 new wikilinks (7 captions + 34 body)
24	-	14436	+2	pass	0	keep	phase-1 smoke test: add reverse wikilink microsurgical-anatomy-principles -> operative-techniques
27	-		+	pass	0	keep	C3 iter27: posterior-clinoid-process (dorsum sellae landmark, basilar apex access)
28	-		+	pass	0	keep	C3 iter28: parahippocampal-gyrus (medial temporal, entorhinal, transtemporal)
29	-		+	pass	0	keep	C3 iter29: cerebral-peduncles (basis pedunculi, safe entry zones)
30	-		+	pass	0	keep	C3 iter30: midbrain (mesencephalon — tectum/tegmentum/basis, syndromes, SEZ)
31	-		+	pass	0	keep	C3 iter31: temporal-lobe (boundaries, Wernicke, MTS, Meyer's loop)
32	-	14721	+49	pass	0	keep	C3 iter32: glossopharyngeal-nerve (CN IX — jugular foramen pars nervosa, LCN rootlet complex, Vernet)
33	-	14769	+48	pass	0	keep	C3 iter33: vagus-nerve (CN X — jugular foramen pars vascularis, recurrent laryngeal, Vernet)
34	-	14832	+63	pass	0	keep	C3 iter34: meckel-cave (dural pouch for Gasserian ganglion; percutaneous TN target; Kawase floor)
35	-	14881	+49	pass	0	keep	C3 iter35: red-nucleus (DRTT relay; perimesencephalic SEZ fiducial; Benedikt/Claude/Holmes)
36	-	14937	+56	pass	0	keep	C3 iter36: mammillary-bodies (Papez terminus; ETV landmark; Wernicke-Korsakoff substrate)
37	-	14988	+51	pass	0	keep	C3 iter37: substantia-nigra (SNc dopaminergic nigrostriatal; SNr GABAergic output; Parkinson substrate)
38	-	15052	+64	pass	0	keep	C3 iter38: caudate-nucleus (C-shaped striatum; ventricular landmark; caudothalamic groove; Huntington)
